time side P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 acc1 acc2 acc3 ang1 ang2 ang3 totalForce cop1 cop2 
10406591 0 30 75 40 40 13 22 1 2 0 5 10 15 15 7 0 2 -0.194 0.126 0.978 -2.8 2.8 -0.35 773 -0.20926 -0.11057 
10406601 0 30 74 39 40 13 22 0 2 0 5 10 15 15 6 0 1 -0.198 0.119 0.977 -2.87 2.87 -0.42 760 -0.21292 -0.11359 
10406613 0 30 77 39 40 12 22 0 2 1 6 9 15 13 7 1 1 -0.197 0.121 0.974 -2.94 2.94 -0.49 768 -0.21118 -0.10919 
10397145 1 0 18 5 5 0 1 0 0 0 0 0 2 3 0 0 0 -0.212 0.078 0.972 -4.34 -3.78 3.01 91 -0.27691 -0.16763 
10397153 1 0 18 5 4 0 1 0 1 0 0 0 2 3 0 0 0 -0.219 0.082 0.973 -4.55 -3.5 2.73 93 -0.26467 -0.17585 
10397163 1 0 15 5 4 0 0 0 1 0 0 0 2 3 0 0 0 -0.22 0.082 0.975 -4.55 -3.5 2.73 82 -0.25474 -0.17323 
10397173 1 0 18 5 5 0 1 0 1 0 0 0 2 3 0 0 0 -0.208 0.08 0.971 -4.76 -3.36 2.87 96 -0.26539 -0.17739 
10406621 0 30 77 40 40 15 23 0 2 1 6 9 14 11 7 1 2 -0.197 0.126 0.977 -3.01 2.94 -0.42 777 -0.21295 -0.10463 
10397186 1 0 17 5 5 0 1 0 1 0 0 0 2 3 0 0 0 -0.216 0.08 0.97 -4.55 -3.57 2.73 93 -0.26129 -0.1777 
10406631 0 29 77 40 40 15 23 0 2 1 6 9 14 10 7 0 2 -0.192 0.124 0.979 -3.01 2.94 -0.56 769 -0.21573 -0.1044 
10406641 0 30 75 40 39 15 22 1 2 2 6 9 13 11 7 0 2 -0.195 0.122 0.98 -2.94 2.87 -0.63 768 -0.2117 -0.09884 
10397193 1 0 19 5 4 0 2 0 1 0 0 0 2 4 0 0 0 -0.218 0.076 0.965 -4.13 -3.64 2.94 100 -0.25498 -0.18519 
10397203 1 0 19 4 4 0 2 0 0 0 0 0 2 3 0 0 0 -0.219 0.076 0.971 -3.78 -3.85 3.15 91 -0.27674 -0.17777 
10397213 1 0 17 3 4 0 2 0 1 0 0 0 2 3 0 0 0 -0.221 0.082 0.969 -3.57 -3.85 3.43 87 -0.25636 -0.19806 
10406653 0 30 78 40 39 15 22 1 2 1 5 9 13 10 6 1 3 -0.197 0.125 0.979 -2.87 2.87 -0.77 769 -0.2172 -0.10192 
10406661 0 29 78 39 39 15 21 1 2 2 5 9 14 9 6 1 2 -0.196 0.12 0.975 -2.8 2.87 -0.7 763 -0.21506 -0.10024 
10406671 0 28 78 39 40 15 21 0 2 1 5 9 13 9 7 0 0 -0.194 0.123 0.977 -2.8 2.87 -0.63 749 -0.22286 -0.10282 
10397225 1 0 15 5 4 0 1 0 1 0 0 0 2 3 0 0 0 -0.223 0.078 0.973 -3.57 -3.85 3.57 85 -0.25115 -0.17671 
10397233 1 0 15 4 5 0 1 0 1 0 0 0 2 3 0 0 0 -0.221 0.083 0.974 -3.5 -3.85 3.5 85 -0.25192 -0.18796 
10397243 1 0 14 3 4 0 2 0 1 0 0 0 2 4 0 0 0 -0.22 0.077 0.974 -3.5 -3.85 3.57 82 -0.22926 -0.20861 
10397253 1 0 15 4 5 0 2 0 1 0 0 0 2 4 0 0 0 -0.218 0.083 0.977 -3.22 -4.06 3.5 90 -0.23765 -0.1979 
10406681 0 30 77 39 40 16 21 0 1 0 5 9 13 7 7 0 0 -0.19 0.121 0.974 -2.38 2.45 -0.49 743 -0.22915 -0.09825 
10406694 0 30 77 40 39 16 21 0 2 2 5 9 12 6 7 0 2 -0.197 0.127 0.978 -2.03 2.45 -0.21 752 -0.22385 -0.09402 
10406701 0 28 78 40 39 15 20 0 2 2 5 9 12 9 7 1 1 -0.19 0.121 0.979 -1.89 2.8 -0.28 751 -0.21887 -0.09868 
10397265 1 0 15 5 4 0 1 0 1 0 0 0 2 4 0 0 0 -0.218 0.074 0.981 -2.8 -4.34 3.71 87 -0.23982 -0.18439 
